15.43 s	39.127 N	
15.5 s	39.139 N	
15.56 s	39.154 N	
15.62 s	39.121 N	
15.69 s	39.148 N	
15.75 s	39.126 N	
15.81 s	39.137 N	
15.88 s	39.136 N	
15.94 s	39.117 N	
16.0 s	39.08 N	
16.07 s	39.131 N	
16.13 s	39.07 N	
16.19 s	39.153 N	
16.26 s	39.102 N	
16.32 s	39.119 N	
16.38 s	39.103 N	
16.45 s	39.17 N	
16.51 s	39.135 N	
16.57 s	39.152 N	
16.64 s	39.081 N	
16.7 s	39.141 N	
16.77 s	39.136 N	
16.83 s	39.14 N	
16.89 s	39.075 N	
16.95 s	39.133 N	
17.02 s	39.135 N	
17.08 s	39.155 N	
17.15 s	39.097 N	
17.21 s	39.104 N	
17.27 s	39.073 N	
17.33 s	39.132 N	
17.4 s	39.135 N	
17.46 s	39.141 N	
17.52 s	39.126 N	
17.59 s	39.12 N	
17.65 s	39.114 N	
17.72 s	39.189 N	
17.78 s	39.099 N	
17.84 s	39.138 N	
17.91 s	39.123 N	
17.97 s	39.17 N	
18.03 s	39.099 N	
18.1 s	39.168 N	
18.16 s	39.105 N	
18.22 s	39.134 N	
18.29 s	39.156 N	
18.35 s	39.093 N	
18.41 s	39.125 N	
18.48 s	39.129 N	
18.54 s	39.075 N	
18.6 s	39.111 N	
18.67 s	39.159 N	
18.73 s	39.118 N	
18.79 s	39.092 N	
18.86 s	39.111 N	
18.92 s	39.137 N	
18.98 s	39.151 N	
19.05 s	39.121 N	
19.11 s	39.151 N	
19.17 s	39.035 N	
19.24 s	39.146 N	
19.3 s	39.103 N	
19.36 s	39.098 N	
19.43 s	39.125 N	
19.49 s	39.076 N	
19.55 s	39.169 N	
19.62 s	39.116 N	
19.68 s	39.174 N	
19.74 s	39.115 N	
19.81 s	39.07 N	
19.87 s	39.147 N	
19.93 s	39.119 N	
20.0 s	39.171 N	
20.06 s	39.084 N	
20.12 s	39.066 N	
20.19 s	39.045 N	
20.25 s	39.149 N	
20.31 s	39.134 N	
20.38 s	39.092 N	
20.44 s	39.133 N	
20.5 s	39.138 N	
20.57 s	39.143 N	
20.63 s	39.089 N	
20.69 s	39.119 N	
20.76 s	39.09 N	
20.82 s	39.152 N	
20.88 s	39.142 N	
20.95 s	39.144 N	
21.01 s	39.125 N	
21.07 s	38.998 N	
21.14 s	38.976 N	
21.2 s	39.137 N	
21.26 s	39.159 N	
21.33 s	39.13 N	
21.39 s	39.039 N	
21.45 s	39.164 N	
21.52 s	39.108 N	
21.58 s	39.153 N	
21.64 s	39.096 N	
21.71 s	39.113 N	
21.77 s	39.081 N	
21.83 s	39.159 N	
21.9 s	39.091 N	
21.96 s	39.134 N	
22.02 s	39.076 N	
22.09 s	39.132 N	
22.15 s	39.164 N	
22.21 s	39.1 N	
22.28 s	39.161 N	
22.34 s	39.124 N	
22.41 s	39.159 N	
22.47 s	39.064 N	
22.53 s	39.097 N	
22.59 s	39.154 N	
22.66 s	39.068 N	
22.72 s	39.103 N	
22.79 s	39.156 N	
22.85 s	39.053 N	
22.91 s	39.224 N	
22.97 s	39.145 N	
23.04 s	39.139 N	
23.1 s	39.15 N	
23.16 s	39.231 N	
23.23 s	39.074 N	
23.29 s	39.146 N	
23.36 s	39.096 N	
23.42 s	39.134 N	
23.48 s	39.125 N	
23.55 s	39.118 N	
23.61 s	39.126 N	
23.67 s	39.109 N	
23.73 s	39.118 N	
23.8 s	39.141 N	
23.86 s	39.089 N	
23.93 s	39.054 N	
23.99 s	39.156 N	
24.05 s	39.17 N	
24.12 s	39.141 N	
24.18 s	39.154 N	
24.24 s	39.049 N	
24.31 s	39.135 N	
24.37 s	39.162 N	
24.43 s	38.917 N	
24.5 s	39.258 N	
24.56 s	39.08 N	
24.62 s	39.051 N	
24.69 s	39.132 N	
24.75 s	39.121 N	
24.81 s	39.118 N	
24.88 s	39.142 N	
24.94 s	39.116 N	
25.0 s	39.119 N	
25.07 s	39.154 N	
25.13 s	39.105 N	
25.19 s	39.123 N	
25.26 s	39.104 N	
25.32 s	39.138 N	
25.38 s	39.106 N	
25.45 s	39.145 N	
25.51 s	39.119 N	
25.57 s	39.065 N	
25.64 s	39.105 N	
25.7 s	39.146 N	
25.76 s	39.093 N	
25.83 s	39.135 N	
25.89 s	39.054 N	
25.95 s	39.14 N	
26.02 s	39.12 N	
26.08 s	39.117 N	
26.14 s	39.018 N	
26.21 s	39.14 N	
26.27 s	39.07 N	
26.33 s	39.129 N	
26.4 s	39.131 N	
26.46 s	39.058 N	
26.52 s	39.105 N	
26.59 s	39.123 N	
26.65 s	39.116 N	
26.71 s	39.109 N	
26.78 s	39.114 N	
26.84 s	39.116 N	
26.91 s	39.132 N	
26.97 s	39.166 N	
27.03 s	39.087 N	
27.09 s	39.07 N	
27.16 s	39.109 N	
27.22 s	39.121 N	
27.28 s	39.071 N	
27.35 s	39.124 N	
27.41 s	39.068 N	
27.47 s	39.072 N	
27.54 s	39.132 N	
27.6 s	39.113 N	
27.67 s	39.098 N	
27.73 s	39.112 N	
27.79 s	39.057 N	
27.85 s	39.132 N	
27.92 s	39.083 N	
27.98 s	39.123 N	
28.04 s	39.075 N	
28.11 s	39.071 N	
28.17 s	39.118 N	
28.24 s	39.16 N	
28.3 s	39.124 N	
28.36 s	39.136 N	
28.43 s	39.119 N	
28.49 s	39.064 N	
28.55 s	39.167 N	
28.62 s	39.16 N	
28.68 s	39.125 N	
28.74 s	39.027 N	
28.81 s	39.13 N	
28.87 s	39.089 N	
28.93 s	39.091 N	
29.0 s	39.056 N	
29.06 s	39.098 N	
29.12 s	39.137 N	
29.19 s	39.2 N	
29.25 s	39.131 N	
29.31 s	39.087 N	
29.38 s	39.116 N	
29.44 s	39.109 N	
29.5 s	39.107 N	
29.57 s	39.104 N	
29.63 s	39.08 N	
29.69 s	39.066 N	
29.76 s	39.104 N	
29.82 s	39.167 N	
29.88 s	39.088 N	
29.94 s	39.127 N	
30.01 s	39.101 N	
30.07 s	39.138 N	
30.14 s	39.139 N	
30.2 s	40.161 N	
30.26 s	38.302 N	
30.33 s	39.003 N	
